2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来_腾讯新闻

# 2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来

家有幼升小、小升初学生的家长看过来！《2024年闵行区义务教育阶段学校招生入学工作的实施意见》发布啦！

家长最关心的“招生划片范围、小学阶段招生、初中阶段招生、民办学校招生”信息，以及各个阶段时间节点都在这里！详见下文。

根据闵行区“十四五”期间区域教育布局调整和常住人口分布的变化，结合义务教育优质均衡发展的创建等要求，按照免试就近入学原则和本区实际情况，确定各校对口招生入学范围，确保符合条件的适龄儿童接受义务教育。

今年，闵行区公办小学、初中招生划片范围如何划分？一起来看看→

1

《2024年闵行区公办小学招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| 10 | 闵行区黎明小学 | 联明路180号 | 黎明花园（七莘路2465弄30支弄）、万兆家园（七莘路2855弄）、牡丹新村（七莘路2999弄）、牡丹公寓（七莘路2899弄）、豪世盛地（沪松公路195弄18支弄）、水清年华（沪松公路565弄）、金美苑（沪松公路481弄）、华星别墅（联明路125弄）、奔驰别墅（联明路255弄）、宝南新村（七莘路2455弄）、联明村（2、4、5、6、7、8、12生产队）、莱茵风尚(七莘路2929弄)、莱茵清境（七莘路2885弄）、惠明苑（联明路338弄）、联盛花苑（1——195号）、陈家塘别墅（七宝村3队）、枫荷兰庭(宝联路88弄) |
| 11 | 上海市七宝实验小学 | 漕宝路1467弄4区64号 | 静安新城（漕宝路1467弄1-12区，包括静安公寓、静安花苑，九歌花园，九歌茗园，九歌中庭）；九歌上郡(宜山路2328弄)；大上海国际花园(漕宝路1555弄),红明新村(漕宝路1565弄)；宏明雅舍(漕宝路1755弄)；海上新村（漕宝路1800弄）；阳光乾城苑（星中路1111弄）天安豪园（虹莘路3333弄） |
| 12 | 上海市日新实验小学 | 东兰路1200号 | 龙茗路2121弄（金汇豪庭）、龙茗路1699弄(东兰雅苑)、龙茗路1597弄（世茗雅苑）、漕宝路1508弄（东兰新村、玉兰苑、木兰苑、蕙兰苑）、龙茗路1897弄（和润家园）、东兰路1111弄（欧风花都）、九星苑(东兰路1349弄) |
| 13 | 上海市闵行区平南小学平吉校区 | 平吉路1288号 | 平吉一村（虹莘路2388弄、2448弄）、平吉二村（虹莘路2288弄）、东苑半岛（顾戴路1266弄、虹莘路2058弄）、新时代花园（顾戴路1100弄）、富嘉花园（古龙路1065弄）、蓝色港湾（龙茗路1458弄）、九星村 |
| 14 | 上海市闵行区平南小学 | 东兰路671号 | 华一村、平南一、二、三、四村、祜欣公寓(东兰路751弄)、和嘉公寓（东兰路591弄）、701研究所家属楼(东兰路37弄)、华梅花苑（虹梅路999弄）、梅莲苑(虹梅路1109弄、虹梅路1111弄)、华一新城（古美路1455弄）、中友嘉园(古美路1458弄）、同济华城(漕宝路1158弄)、怡景园(莲花路1058弄)、东苑古龙城(古龙路66弄)、蔚蓝城市（平吉路88弄）、新时代景庭（古龙路287弄）、古龙尚居(古龙路300弄) |
| 15 | 闵行区平阳小学 | 古美西路628弄177号 | 平阳一村（虹莘路1876弄）、平阳二村（顾戴路1075弄）、平阳三村（虹莘路1700弄）、平阳四村（古美西路628弄）、平阳绿家园（古美西路631弄）、鸿发家园（古美西路899弄）、东方御花园一期（古美西路753弄）、东方御花园二期（龙茗路513弄）、春江锦庐（古美西路752弄）、春意苑（虹莘路1518/28支弄）、江南星城一期（顾戴路1199弄）、江南星城二期（顾戴路1325弄）、古美西路316弄、古美西路420弄、半岛豪门一期（虹莘路1935弄）、半岛豪门二期（虹莘路1955弄）、龙祥公寓（平阳路1515弄、仲义苑（虹莘路1638弄）、平阳苑（平阳路1465弄）、平阳三街坊（龙茗路701弄、平阳路1375弄）、晶杰苑（古美西路399弄） |
| 16 | 华东理工大学附属闵行梅陇实验学校 | 梅陇镇罗秀路1791号 | 梅陇一、二村、紫藤一、二村、益文苑（益文路100弄）、益文路79弄、锦鸿公寓（益文路101弄）、花园别墅、梅陇镇镇南单、双弄、朱梅小区（上中西路925弄）、上陇新村（上中西路810弄、上中西路738弄、虹梅南路601弄）、罗秀苑（上中西路1011弄）、新罗秀苑（罗秀路1555弄）、罗秀新苑(罗秀路1651弄）、望族苑（上中西路1285弄）、梦景苑（罗秀路1701弄）、西班牙名苑（罗秀路1980弄）、嘉和花苑（罗秀路1955弄、罗秀路1999弄）、世纪苑（莲花南路155弄）、中梅苑（上中西路735弄、上中西路767弄、上中西路855弄、罗秀路1339弄、罗秀路1459弄）、陇西村、陇南村、陇兴村（闵行）、张慕村（南张家宅除外）、南方城（沪闵路7580弄111支弄） |
| 17 | 闵行区罗阳小学 | 罗阳路800弄225号 | 罗阳一村（罗阳路258弄）、罗阳二村（罗锦路258弄）、罗阳三村（莲花南路431弄）、罗阳四村（莲花南路565弄）、盛源花苑（罗锦路556弄）、罗阳五村（罗阳路568弄）、罗阳七村（罗阳路750弄）、三洲花苑（罗阳路800弄）、莲花新苑（罗阳路339弄）、莲花苑（罗阳路261弄）、绿梅别墅（罗阳路255弄）、绿梅公寓（罗阳路111弄）、罗锦新苑（景福路189弄）、罗锦苑（罗锦路111弄）、莲花河畔景苑（罗阳路599弄） |
| 18 | 上海中医药大学附属闵行蔷薇小学 | 春申路1581弄5号 | 蔷薇一、二村（老沪闵路1351弄）、五村（春申路1581弄）、蔷薇三村（虹梅南路1770弄）、蔷薇四、六村（虹梅南路1728弄）、蔷薇七村（春申路1580弄）、蔷薇八村（虹梅南路1660弄）、源梦苑（春申路1888弄）、普乐二村（普乐路425弄）、都市宜家（虹梅南路1661弄）、行南村、江南欣苑（普乐路333弄、春申路1766弄）、虹梅菁典（春申路1717弄）、永联村、五一村、银兆公寓（银都路666弄）、中冶锦苑(陇都路51弄) |
| 19 | 上海中医药大学附属闵行蔷薇小学晶城校区 | 业祥路158号 | 锦乐新苑（普杰路100弄1-24号）、锦乐新苑（普杰路69弄1-22号）、普乐三村（虹梅南路1555弄）、森安苑（普乐路665弄）、上海晶城、鸿福新村（同乐路151弄）、朱一小区（虹梅南路1208弄）、朱行二、三村、朱行四村（莘朱路1924弄）、朱行新四村（莘朱路1760弄）、虹梅佳苑（莘朱路1688弄）、朱行新村（莘朱路1997弄）、朱莘苑（莘朱路2111弄）、朱行镇老街、朱行城中村、晶珑坊（又名城开珑庭龙州南路58弄1-14号）、景华新苑（华展路168弄） |
| 20 | 闵行区实验小学 | 莘沥路203号 | 莘松五村（莘沥路499弄，含莘沥路42弄）、莘松三村（莘沥路363弄）、莘松八村（莘沥路366弄）、锦澳家园（莘沥路332弄）、莘沥路300弄、莘松九村（莘东路373弄）、锦都花苑（莘东路399弄）、银厦花园（莘沥路128弄）、莘沥路188弄、裕兴花园（七莘路181弄）、明物大厦（莘谭路76弄）、莘怡公寓（莘东路498弄）、莘沥路18弄、莘沥路20弄 |
| 21 | 闵行区实验小学春城校区 | 伟业路228号 | 水仙苑（一期畹町路500弄、二期春申路2728弄）、玉兰苑、随园（伟业路388弄）、万科假日风景（畹町路99弄、畹町路100弄）、上海春城一居委（莲花南路1288弄、上海春城二居委（莲花南路1108弄）、绿地春申（莲花南路988弄）、莘南花苑一村、二村、江南名邸（高兴路666弄）、新空间（莘朱路651弄）、茉莉苑（春申路2768弄）、玫瑰九九（洱海路99弄） |
| 22 | 闵行区实验小学畹町校区 | 高兴路389号 | 高兴花园（莘朱路863弄、莘朱路879弄）、中城绿苑（伟业路620弄、伟业路621弄）、常兴家园（莘朱路851弄）、莲花新村（春申路2458弄）、春馨苑（锦梅路1258弄）、行西村、集心村 |
| 23 | 闵行区实验小学景城校区 | 集心路201号 | 春申景城一期（莲花南路1111弄）、春申景城二期（兴梅路1199弄）、春申景城三期（锦梅路1500弄、锦梅路1398弄） |
| 24 | 闵行区莘庄镇小学 | 莘浜路315号 | 长寿新村（莘东路51弄）、莘南新村（莘中路15弄）、益发公寓（莘浜路35弄）、康玫公寓（莘浜路215弄）、莘浜路（157弄、217弄、285弄、46号、276号、284号）、恒丰苑（莘浜路303弄、328弄）、莘浜路341弄、351弄、380弄、银星大厦（莘浜路10弄）、团结花苑（莘建路375弄、376弄、莘浜路428弄）、闵富花苑（莘松路475弄）、世纪名门（莘松路225弄）、莘建路（含莘建支路，60弄、90弄、100号、119号、230弄、317弄）、莘中新村（莘南路98弄）、闵富大厦（莘建路228弄）、世纪名苑（莘东路298弄）、三琳花园（莘松路415弄）、鑫鸿公寓（莘西路403弄45支弄）、莘松一村（莘谭路295弄）、莘松二村（莘谭路411弄）、莘松四村（莘松路470弄）、西街421弄、小西街、梅园村（莘浜路508弄）、公园天下（西园路128弄）、碧春园（中春路4915弄）、春申府邸（沪闵路5366弄）、邻里苑(沪闵路5600弄88支弄)、莘东路12弄、南街（51弄、44号、64号、56号、69号、129号、142号、143号、145号、148号）、小东街、莘西路（83弄、122弄、138弄、156弄、162弄）、兴中公寓（莘松路404弄）、莘建一村、莘南路（102号、104号、106号、108号、112号、114号、116号、118号、120号、122号、124号、126号、128号）、莘建路290弄、张家宅24号、缺口26号、莘东路火车站、莘松路19弄 |
| 25 | 闵行区莘庄镇小学南校区 | 莘西南路399号 | 美丽家园（莘西南路128弄）、沁春园一村（莘西南路380弄、400弄）、沁春园二村（莘西南路155弄）、莘春景苑（莘西南路99弄）、沁春园三村（沁春路1366弄、沁春路1122弄）、源城春苑（沁春路168弄）、青春村（浦家塘、石家河圈、陆家塘、金家塘、沈家宅、杨家宅、陈家桥、顾家塘、吴家板桥、春申桥、盛家塘、柳家塘）三春汇秀苑（沁春路355弄） |
| 26 | 闵行区花园学校 | 莘北路485号 | 绿梅一村(莘北路255弄)、森都公寓(莘北路50弄)、绿梅二村(莘凌路285弄)、绿梅公寓（莘凌路241弄）、绿梅三村（莘北路399弄）、金城绿苑（莘北路398弄）西环公寓(西环路699弄)、西湖苑小区（西环路777弄）、莘北村、西环一村（西环路169弄）、西环二村（西环路171弄）、西环三村（莘谭路590弄）、西环四村（莘谭路588弄）、西环新村（莘松路625弄）、环绿公寓（莘沥路563弄）、柳明公寓（莘松路577弄）、莘松六村（莘沥路501弄）、莘松七村（莘沥路512弄） |
| 27 | 闵行区新梅小学 | 报春路388弄48号 | 新梅花苑（报春路388弄、报春路488弄）、新梅公寓（报春路399弄、报春路485弄）、新梅广场（沪闵路6666弄）、佳佳花苑（报春路218弄）、东苑绿世界一期（沪闵路6918弄）、东苑绿世界二期（报春路128弄）、东苑绿世界三期（沪闵路6780弄）、莲浦花苑（沪闵路6988弄）、莘光苑（龙茗路149弄）、景和茗苑(龙茗路69弄)、虹莘路1200弄、虹莘小区（虹莘路1701弄、虹莘路1551弄）、虹莘家园（虹莘路1601弄） |
