2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来_腾讯新闻

# 2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来

家有幼升小、小升初学生的家长看过来！《2024年闵行区义务教育阶段学校招生入学工作的实施意见》发布啦！

家长最关心的“招生划片范围、小学阶段招生、初中阶段招生、民办学校招生”信息，以及各个阶段时间节点都在这里！详见下文。

根据闵行区“十四五”期间区域教育布局调整和常住人口分布的变化，结合义务教育优质均衡发展的创建等要求，按照免试就近入学原则和本区实际情况，确定各校对口招生入学范围，确保符合条件的适龄儿童接受义务教育。

今年，闵行区公办小学、初中招生划片范围如何划分？一起来看看→

1

《2024年闵行区公办小学招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| 42 | 上海市闵行区吴泾实验小学 | 剑川路119号 | 龙吴路5530弄（吴泾新村居委）、剑川路100弄（双柏新村居委）、龙吴路5511弄（永南新村居委、永北新村居委）、剑川路150弄（永南新村居委、永北新村居委）、剑川路140弄（永南新村居委）、原吴泾村、剑川路10弄（锦浦公寓）、剑川路50弄（氯碱小区）、通海路360弄、剑川路121弄、剑川路139（锦川公寓）、龙吴路5599弄（新华小区）、广南路333弄（现代苑）、龙吴路5688弄（万科花园小城）、原金红村（新建村金红） |
| 43 | 上海市闵行区中心小学 | 新闵路472号 | 浦江路170号、190号，浦江路58弄、新安路，横泾西路，新西街82弄、南北大街、沪闵路73弄、111弄、121弄、123弄、315弄、江川东路863弄、839弄，新闵路，闵东路，横泾东路，河东路，江川路241弄1-8号、19-30号、57-76号、84-98号、130号及以上，东川路925弄，沧源路770弄、660弄、588弄（当代万国府）、永平南路203弄、永平南路198弄、黄一村、黄二村 |
| 44 | 上海市闵行区华坪小学 | 沪闵路158弄54号 | 兰坪路131弄（高华三里委）、沪闵路158弄（高华一里委）、兰坪路70弄（兰坪一里委）、华坪路69弄、建设路、紫罗兰花苑（兰坪路136弄）、沪闵路170弄、172弄、174弄、176弄、华坪路9弄 |
| 45 | 上海市闵行区鹤北小学 | 鹤庆路358弄30号 | 鹤北一街坊（鹤庆路136弄、鹤庆路58弄）、鹤北二街坊（鹤庆路358弄、安宁路26弄、安宁路88弄）、金铭福邸（鹤庆路560弄） |
| 46 | 上海市闵行区汽轮科技实验小学 | 宾川路238号 | 兰坪路210号、220号、234号、252号，302弄、352弄，宾川路200弄、233弄、311弄、380弄，江川路296弄，鹤庆路411弄、585弄、金铭福邸（瑞丽路386弄、瑞丽路61弄）；瑞丽名邸（瑞丽路528弄）、友好佳苑（江川路680弄）、瑞丽里委(江川路456弄；瑞丽路35弄；宾川路395号)、电一里委(江川路550弄；江川路558弄；瑞丽路22弄；宾川路405—413号（单号）)、电二里委(宾川路406号；430弄；416弄)、电四里委（碧江路195弄）、电五里委（碧江路210弄、碧江路280弄、江川路660弄120支弄）、紫藤新苑(东川路2759弄)、富仕名邸（碧江路329弄、338弄）、碧江路400弄、东川苑（东川路2815弄、2817弄）、君临六六公寓（碧江路299弄）、新华小区（鹤庆路641弄）、马桥友好村（1组—7组、13组、19组）、鹤庆路810弄 |
| 47 | 上海市闵行区江川路小学北校区 | 安宁路495号 | 鹤北新苑（安宁路289弄）、鹤庆苑（安宁路330弄）、欧洲花园（安宁路379弄）、金平新村（金平路337弄、安宁路400弄）、千代名墅（安宁路458弄）、金榜人家（石屏路399弄）、假日景苑丽都城(金平路328弄)、凤凰景苑凤凰城（景谷中路58弄） |
| 48 | 上海市闵行区江川路小学 | 江川路248弄114号 | 东风小区（江川路248弄）、东江小区（兰坪路301弄、兰坪路401弄）、兰坪二村（兰坪路190弄、江川路291弄、江川路297号、江川路303弄）、帝景园（华坪路100号）、高华小区（江川路241弄（9—18号、31—56号、77—83号、99—129号）） |
| 49 | 上海市闵行区碧江路小学 | 碧江路495号 | 颛桥镇中心村：虹桥、王家、李家、剑川路队（徐家），景华小区（华宁路191弄、华宁路189号、景谷路135弄、碧江路402弄），富仕名邸部分（东川路2718弄），红旗四街坊（景谷路176弄、碧江路502弄、景谷路192弄、凤庆路1061弄、景谷路206弄），景谷苑（华宁路265弄），红期五村（碧江路401弄），红旗花苑（东川路2626弄），凤庆小区（碧江路501弄、景谷路64弄），马桥镇友好村：8、9、10、11、12、14、15、16、17、18、20村，中景水岸（瑞丽路768弄），海赋尚品（瑞丽路918弄） |
| 50 | 上海交通大学附属实验小学 | 德宏路2366号 | 沧源路755弄（北欧丽景、京浦花园、三明花园）、沧源路655弄（金榜五期）、沧源路880弄(交大新村）、东川路811弄（金榜六期）、东川路865弄(好第坊)、景谷东路99弄(博仕欣居) |
| 51 | 上海交通大学附属实验小学西校区 | 凤庆路300号 | 南洋瑞都、剑桥府邸、金榜雅苑（金平路777弄）、合生城邦一街坊（金平路555弄）、合生城邦三街坊（金平路558弄）、合生城邦四街坊（金平路788弄）、畅馨园（凤庆路58弄）、剑桥丽苑（凤庆路150弄）、新闵村、安乐村(铁路以南) |
| 52 | 上海市闵行区黄浦一中心世博小学 | 浦驰路177号 | 世博家园（浦申路633弄、200弄、北江燕路68弄、228弄、338弄、南江燕路69弄、229弄、浦驰路345弄、188弄、235弄、浦晓南路59弄、联航路2015弄、2165弄）、智汇园（联航路1399弄）、满香苑（江龙路446弄） |
| 53 | 上海市闵行区莘松小学 | 东闸路99号 | 宝安新苑（疏影路789弄）、富林苑三期（疏影路838弄）、富林苑二期（疏影路999弄）、富林苑一期（中春路5839弄）、东苑新天地南区（疏影路711弄）、东苑新天地北区（疏影路758弄）、东苑福邸（群英路88弄）、东湖花园（疏影路1020弄）、莘城苑（疏影路1111弄）、林水美地苑（疏影路1188弄）、东苑新天地公寓（七莘路765弄1号） |
| 54 | 上海市闵行区诸翟学校 | 纪翟路221号 | 原诸翟镇下辖5个行政村（陈家角村、肖王庙村、石皮弄村、朱家泾村、诸翟村）、诸新一村（平乐路165弄）、诸新三村（纪翟路450弄）、紫薇新村（紫苑路）、金丰小区（金丰路121弄、179弄）、美邻苑（保乐路666弄）、紫堤苑（北翟路5088弄）、九方家园（保乐路168弄）、紫薇二村（北翟路5259弄）、西郊庄园（金丰路588弄）、九韵城（繁兴路300弄）、瑞生花园（保乐路358弄）、华新中心村（纪翟路1135弄）、西郊河畔（繁兴路469弄）、紫堤坊（纪翟路99弄）、香港花园（纪翟南路188弄）、林茵湖畔（幸乐路500弄、金丰路55弄）、万科红郡（诸新路377弄、诸新路388弄）、兰乔圣菲（金辉路333弄）、北翟路5103弄、北翟路5115弄、景平苑（繁兴路1000弄）、景雅苑（开兴路199弄）、北翟路5120弄、玫瑰里（运乐路288弄）网球俱乐部公寓（金丰路555弄）、马德里洋房（金丰路777弄）、馨泰佳苑（季乐路476弄）、馨乐佳苑（季乐路299弄）、新华花园（纪翟路355弄100支弄）、虹桥晶邸（繁兴路333号）、金臣别墅（金光路801号）、丽华雅苑（金光路699号）【暂时安置】虹桥博雅苑（朱建路666弄）、虹桥舒雅苑（方亭路566弄）、虹桥茗雅苑（纪潭路75弄1-19号）、禧瑞怡庭（徐亭路35弄）、禧瑞铭庭（徐亭路36弄）、前湾雅苑（金辉路1061弄） |
| 55 | 上海市金汇实验学校 | 红松路81弄18号 | 金汇花园一街坊、华源公寓、金汇福邸（虹井路618弄），金汇花园三街坊、金汇名人苑、宝虹公寓、先锋公寓（红松路175弄），金汇花园四街坊（金汇路518弄），金汇华光城（金汇路588弄），金汇鸿锦苑（虹井路482弄），金坤花园（金汇路515弄），南洋绿都（程家桥路168弄58支弄），金汇丽舍（原韵动时代。金汇路460弄）、金斯花园(金雨路88弄)、金俊苑（虹井路368弄）、程家桥路221、程家桥路211弄、金汇紫薇苑（红松路81弄153支弄）、旭辉识庐（红松路81弄169支弄）、虹井路728弄（虹桥衡园）、程家桥路185弄（顺安公寓）、程家桥路269弄（光大花苑） |
| 56 | 上海市莘光学校 | 山花路555号 | 水清一村（雅致路228弄）、水清二村（水清路298弄）、水清三村（庙径路52弄）、水清嘉苑（水清路378弄25支弄）、大唐别墅（水清路500弄）、水清路539弄、水清路759弄、报春一村（报春路817弄）、报春二村（报春路863弄）、报春三村（报春路816弄）、报春四村（报春路862弄）、阳明国际（水清路588弄、山花路65弄、108弄）、绿茵苑（报春路558弄）、绿茵公寓（山花路268弄）、丽华公寓（报春路748弄）、雅致公寓（雅致路31弄）、金霄大厦（碧泉路36弄）、银霄大厦（B座沪闵路6269弄、A座沪闵路6259弄）、众众家园（莘建东路388弄、399弄12支弄）、新珠苑（莘建东路539弄）、开城新村（莘朱路81弄）、紫欣公寓（碧秀路98弄）、地铁明珠苑（莘建东路198弄、258弄） |
| 57 | 上海市闵行区纪王学校 | 纪翟路1655号 | 华漕镇红卫村、纪东村、纪王村、纪西村、鹫山村、卫星村、赵家村、银杏新村（纪翟路1625弄）、纪丰苑（纪翟路1558弄）、祥宾新村（纪川路55弄）、纪高苑（纪高路728弄）、纪高苑二期（纪川路198弄）、祥宾二村（纪高路448弄）、友谊新村（纪中路66弄、纪中路100弄）、纪高路295弄、纪高路405弄、纪育路446弄、纪育路516弄、纪中路南一村、纪中路南二村、纪中路北一村、纪中路北二村、纪王大街、纪王纪前路毛家弄、鹫山小区（纪鹤路559弄1-128号）、永丰苑（纪鹤路589弄1-90号） |
| 58 | 上海市马桥强恕学校 | 北松路2258号 | 马桥居委（中街小区[东街11-18号，富岩路230弄，西新路15弄，富岩路1-23号，中街149、151、153、155、157弄，中街190、221号，南中街51-55号，东新街1-25号，新村3、4幢，新街10、12号，东新街2弄，西街1-21号]、东街小区[老东街20-58号]，西街小区[西新路58弄]，S32小区[富岩路155弄、富岩路156弄、昆阳路2038弄]），敬南居委（富岩路328弄、335弄、裕丰小区、敬南苑、敬南路1-3号、富岩路268弄16支弄），工农村、旗忠村（1-12街坊）、俞塘村、裕隆花园、元祥小区、元吉小区、茜昆居委（山水世纪花园、长岛别墅、中房森林别墅、绿城玫瑰园、御涛园、红庐香颂、红庐雅颂、旗忠愉园）、旭丽花园（北松公路838弄），联仲都悦会（中秀路100弄）、悦和雅苑（茜昆路888号）、隐秀云邸（曙光路1500弄） |
| 59 | 上海市古美学校 | 莲花路486弄25号 | 古美一村：莲花路528弄,古美三村：平阳路360弄,古美四村（古美公寓）：平阳路300弄,古美五村：顾戴路35弄,古美六村：古美路440弄,古美七村：平阳路50弄,古美八村：莲花路310弄,古美九村（阳光星期八）：古美路377弄、莲花路288弄,古美十村：平阳路111弄,75751部队家属院：顾戴路115弄,成亿家园：顾戴路251弄,阳光美景城：平阳路59弄,望族新城：古美路675弄,康健丽都：古美路718弄,古龙一村（古龙苑）：顾戴路388弄,宝诚大厦：虹梅路269号,金梅公寓:虹梅路263号,锦隆别墅：古美路58号、沪闵路7948弄,上海花园：沪闵路7886弄、7888弄,南方新村：古美西路86弄,莲花公寓：莲花路425弄、325弄,望族新苑：万源路400弄,风荷云墅：顾戴路645弄，金领华庭：古美路350弄 |
| 60 | 上海师范大学康城实验学校 | 莘松路958弄瀑布湾道18号 | 上海康城 |
| 61 | 上海市莘城学校 | 普洱路158号 | 江南苑（莘朱路222弄）、好世鹿鸣苑（闵城路199弄）、中祥哥德堡（珠城路99弄）、世纪阳光苑（珠城路99弄）；凯利大楼（春申路3758弄）、新梅莘苑（珠城路118弄）、都市星城（富都路111弄、天河路39弄)；奥塞花园（普洱路88弄）、东苑利华苑（春申路3799弄65支弄）、绿水家园（春申路3799弄100支弄）、春申丽园（春申路3799弄18支弄、春申路3799弄33支弄）；春申五村或春申新村（都市路4499弄）、金铭新水岸（腾冲路50弄）、春申四季苑(都市路4633弄)；莘梓苑（都市路5058弄）、名都新城（富都路55弄、宝城路155弄、名都路20弄、友情路50弄）、莲蒲新苑（名都路58弄）；塞纳左岸/东苑利景（宝城路500弄）、莘城公寓（宝城路158弄）；都市苑（腾冲路180弄）、柏林春天（春申路3355弄、都市路4580弄）、华丽家园（春申路3455弄）、悦麓苑（莘朱路288弄） |
| 62 | 上海市闵行区明星学校 | 黎安路339号 | 水清苑（水清路1000弄）、香树丽舍（水清路999弄）、星丰苑（黎明路155弄）、黎安一村(黎安路551弄）、黎安二村：南区（水清路1111弄）北区（黎安路486弄）、黎安三村（黎安路380弄）、黎安四村（水清路1100弄）、盛园（秀文路555弄）、圣淘沙（顾戴路2199弄）、银星小区（水清路1550弄）、当代艺墅（顾戴路1801弄）、现代缘墅(水清路1028弄)、莘庄镇明星村、莘庄镇南马、大虹桥国际公馆（秀涟路111弄） |
| 63 | 上海市闵行区君莲学校 | 老沪闵路2700号 | 龙泽苑（都会路3199弄）、幸福苑（都会路2799弄）、广润苑（春都路88弄）、君莲新城中城苑（春都路75弄）、爱庐世纪新苑（沪光路39弄）、光辉村农民别墅（沪光路180弄）、宏润丽苑（春都路358弄）、星河湾、君莲闵都雅苑（沪光路425弄）、众秀新家园（都会路2626弄） |
| 64 | 上海交通大学附属闵行马桥实验学校 | 银春路1750号 | 夏朵小区（银春路1799弄）、飞碟苑小区（银春路1800弄）、华银坊（华宁路1399弄）、银春苑（银康路76弄）、银康苑（银林路100弄） |
| 65 | 上海市民办万源城协和双语学校(公办班） | 平吉路509号 | 万源城(万源城朗郡万源路986弄，万源城一期莲花路755弄，万源城逸郡万源城788弄，万源城尚郡万源路580弄，万源城御境古龙路666弄，万源城御溪平吉路688弄） |
| 66 | 上海市闵行区浦汇小学 | 盐铁塘路281号 | 兴顺苑（鲁建路2658号）兴利苑（永高路255弄257号）星华园（盐铁塘路565弄）颂和苑（永颂路455弄）浦欣苑（永高路75弄）和康苑（永颂路299弄）永锦苑（永颂路198弄）盛华苑（鲁康路1198弄）丹桂苑（永恩路80弄）玉兰苑（闸航路4398号）丽华园（盐铁塘路272弄）香樟苑（盐铁塘路435弄）佳兴苑（永跃路782弄）浦芳苑（盐铁塘路176号）宝铭莲浦苑（永杰路577弄）浦晨雅苑（永杰路439弄）锦宏苑（永跃路550弄）馨宁佳苑（永跃路555弄）欣康苑（永跃路781弄）、旭辉江山都会（永跃路208弄）永康城浦上雅苑（新港河路385弄） |
| 67 | 上海市闵行区马桥文来外国语小学 | 富卓路250号 | 乐康苑（银春路2200弄）、品雅苑（富卓路789弄）、四季悦园（富国路355弄） |
| 68 | 上海市闵行区马桥文来外国语小学富杰校区 | 富杰路296号 | 保利雅苑小区（银秋路1351弄）、景城馨苑小区（银林路1002弄）、保利佳苑小区（富国路39弄）、景城和苑（银康路750弄）、禹洲银杏里（富国路199弄1-36号）、卓越雅苑（富岩路60弄1-84号）、马桥景城元景富文苑(银康路735弄) |
| 69 | 上海市闵行区马桥文来外国语小学昆阳校区 | 天星路258号 | 昆阳新村；昆阳路：420弄、540弄、520弄、550弄、560弄、570弄、580弄、600弄、620弄；天星路：240弄、241弄、242弄、251弄；昆阳路362号；东川路3353弄；金星村、彭渡村、吴会村、同心村、民主村、祥云新城（江川路1777弄） |
| 70 | 上海市闵行区福山实验学校 | 浦航路199号 | 先进村（3、4、5、6组）、北徐村、新风村。浦润苑（浦航路718弄）浦江馨都（先新路1058弄）欣佳宝邸（东区：闵驰二路58弄、59弄西区：闵驰二路256弄、257弄）瑞和华苑（闵驰一路302弄、闵驰一路299弄、江航南路801弄）汇秀景苑（一街坊：浦航路178弄二街坊：闵驰一路208弄三街坊：闵驰一路197弄）聚缘北庭（浦航路36弄）、聚缘中庭（闵驰一路50弄）聚缘南庭（闵驰一路29弄）馨和雅苑（召楼路1706弄） |
| 71 | 上海市闵行区田园第二外语实验小学 | 伟都路45号 | 银桥花园（沪闵路3131弄），金榜新苑（都市路1800弄、1900弄），金榜星墅（沪闵路3131弄）、都市雅筑（沪闵路3131弄）金铭文博水景（都市路2501弄、向阳路2088弄），湖山在望（都市路2566弄），圣得恒业花园（都市路2099弄），天籁园（都市路2088弄） |
| 72 | 上海师范大学附属闵行第三小学 | 南江榉路591号 | 浦江华侨城：江桦路200弄、江桦路400弄、江桦路600弄、江桦路199弄、江桦路399弄、江柳路200弄、江柳路400弄、浦驰路1809弄、浦驰路1659弄、浦驰路1335弄、浦驰路1336弄、浦驰路1628弄、浦锦路1658弄、江栀路500弄、江栀路350弄、浦申路1288弄、浦晓路112弄；万科翡翠别墅：江桃路555弄、江桃路556弄、浦秀北路55弄、浦秀北路155弄；红醍半岛（涵云雅庭）：江柳路888弄、江柳路889弄；保利茉莉公馆：浦秀路1535弄、浦秀路1536弄、北江桐路536弄；浦江坤庭：浦秀路1385弄、浦秀路1386弄、浦雪路1180弄、浦锦路1181弄；浦江颐城：浦泉路251弄、浦泉路399弄、浦晓路298弄；桂鸿院：江柳路600号；桃花源墅：江桃路399弄、江桃路299弄；【暂时安置】一品漫城：浦星公路568弄、芦恒路378弄、浦申路2639弄 |
| 73 | 华东师范大学闵行永德实验小学 | 永德路1160号 | 塘泾南苑（曹家塘路220弄）、塘泾北苑（曹家塘路390弄）、永德宝邸（曹家塘路229弄、曹家塘路399弄）、【暂时安置】万科青藤（紫龙路200弄） |
| 74 | 复旦大学附属闵行实验学校 | 梅陇西路1566号 | 上海阳城（罗锦路888弄）、未名园（莲花南路588弄）、两湾新苑（莘朱路718弄）、金辉海上铭著（莘朱路698弄）、梅香苑（莘朱路820弄、伟业路780弄） |
| 75 | 上海世外教育附属浦江外国语学校 | 景容路66号 | 为民村、徐凌村、李巷村、恒星村、叶凌村、立民村、东风村、苏民村、勤劳村、建中村、三友村、知新村、友建村、宝华源墅（三鲁公路5588弄） |
| 76 | 上海市闵行区七宝文来学校 | 华友路315号 | 阳光神州苑（华林路228弄、华林路229弄）、莲浦府邸（一期）（七莘路1818弄)、碧林湾南苑（华友路150弄、华友路260弄）、蓼花汀（七莘路1728弄）、富丽公寓西区（七莘路1999弄）、富丽公寓东区（七莘路1666弄）、摩登堂（中谊路909弄）、丽友新村（七莘路2055弄）、碧林湾新苑（中谊路969弄）、碧林湾新苑二期（华友路550弄）、中华村/宝华花园（中春路6689弄）、东碧林湾（七莘路1890弄）【暂时安置】古美名邸（古龙路1555弄） |
| 77 | 上海交通大学附属闵行实验学校 | 富学路99号 | 详见学校招生简章 |
| 温馨提醒1.依据当年市、区招生政策和区教育局确定的对口招生入学范围，以“相对就近、免试入学”为原则，安排符合条件的学生入学。2.招生入学范围的设定以当年公示为准。由于受人口出生高峰等因素的影响，部分公办学校招生入学划片范围会有适当调整。 |

2

《2024年闵行区公办初中招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| --- | --- | --- | --- |
| 1 | 上海市航华中学 | 航北路328号 | 沪江园区(航东路775弄)、晟虹新景苑（沪青平公路249弄）、永兴小区（沪青平公路251弄120支弄、航东路685弄76支弄）、航华新苑（航中路635弄）、沪江新园（沪青平公路391弄）、航华一村二街坊270号-368号、丹桂花苑（航北路228弄）、丹桂南苑（航北路229弄）、航华四村三街坊（航中路232—304弄）、复泰景苑（航中路288弄）、嘉丰新苑（航东路255弄）、华菁公寓（沪青平公路101弄）、航华一村一街坊1号—220号、新明星花园（航北路123弄、航北路180弄、航东路528弄45支弄）、春之苑（航东路528弄69支弄）、鸿禧花园（航北路38弄）、华景小区（航北路35弄）、嘉丰花苑(航东路204弄)、航华四村、航东路606弄小区（航东路606弄）、天一小区（航东路750弄）、虹光村、号上村、田图苑（沪青平公路180弄）、舒兴小区(沪青平公路158弄)、荣德公寓（沪青平公路338弄、沪青平公路346弄） |
| 2 | 上海市闵行区上虹中学 | 虹桥镇环镇南路110号 | 臻园小区（古羊路789弄）、井亭苑（虹莘路3799弄）、明泉璞院（虹秀路78弄）、虹兴苑（虹梅路2555弄）、虹梅路2309弄、虹梅路2669弄、虹梅路2759弄、虹梅路2806弄、虹桥晶典苑（虹梅路2838弄）、东苑怡和园（虹梅路2899弄）、虹梅路2964弄、虹梅路2981弄、虹梅路2986弄、虹梅别墅（虹梅路2989弄）、天怡公寓（虹梅路2998弄）、豪嘉府邸（虹梅路2999弄）、奥汀宫廷别墅（虹梅路3001弄88支弄）、虹桥别墅（虹梅路3081弄）、富宏花园（虹梅路3131弄）、虹桥花苑（虹梅路3200弄）、紫京苑(虹梅路3201弄)、汇秀苑（虹梅路3215弄99支弄）、华光花园（虹梅路3297弄）、虹田苑（虹梅路3318弄）、红春二公寓（虹梅路3321弄）、金泉苑（虹梅路3329弄）、红春一公寓（虹梅路3330弄）、嘉年别墅（虹梅路3333弄）、虹桥东苑风度国际（虹莘路3800弄）、虹桥高尔夫（虹许路555弄)、名都城小区(虹许路788弄)、虹中路2弄、虹中别墅（虹中路385弄)、流晶逸彩（虹中路460弄)、华虹一公寓（虹中路480弄）、奥森花苑（虹中路708弄、虹中路758弄、虹中路759弄）、虹鹿一、二公寓（虹中路780弄）、奥森公寓（虹中路786弄）、延虹公寓（虹中路796弄）、凯迪华光（华光路300弄）、镇南一村（环镇南路）、环镇南路87-93弄、苹果园（环镇南路888弄）、环镇西路39弄、环镇西路41弄、环镇西路6弄、旖和园（金汇南路258弄）、耕读园（金汇南路301弄）、陶然居（金汇南路60弄）、怡然居（金汇南路91弄）、上虹新村（莲花路2150弄、莲花路2151弄）、万源新城（万源路2289弄）、海联花苑（吴中路380弄、张虹路135弄）、张家宅小区（吴中路388弄）、锦华公寓小区(吴中路397弄)、陈家宅小区（吴中路405弄）、古北首席小区（吴中路405弄100支弄）、怡德苑小区（吴中路408弄75支弄）、湘府花园小区（吴中路429弄）、古北新城（吴中路511弄、吴中路585弄）、金虹大厦（吴中路598弄）、明申花园（吴中路633弄）、天鸿公寓（吴中路677弄）、旅专小区（吴中路689弄）、外贸小区（吴中路730弄）、君怡公寓（吴中路889弄）、吴中路830弄、吴中路870弄、吴中路940弄、吴中路970弄、吴中路907号、吴中路909号、吴中路918号、吴中路920号、吴中路1001弄、红松东路321弄、金虹桥振宏苑（姚虹路108弄）、古北虹苑一期（姚虹路298弄）、古北虹苑二期（姚虹路259弄）、古北虹苑三期（红松东路251弄）、恒盛苑（姚虹路299弄）、伊犁苑（伊犁南路23弄）、振宏公寓（伊犁南路24弄）、东方明珠小区（伊犁南路32弄）、东方航空小区（伊犁南路34弄）、虹桥明珠公寓（伊犁南路34弄）、浩润苑（伊犁南路65弄）、海申花园（张虹路125弄）、海叶公寓（张虹路133弄）、名都城二期（古北路1700弄）、虹桥村、虹二村、虹四村、虹六村、新桥村、井亭村、古北大成公寓(红松东路451弄)、荣信虹桥世嘉（虹梅路2159弄）、万源新城四期（环镇南路200弄）、古北尚郡（红松东路2899弄）、古北尚公馆（虹中路158弄）、新弘金科嘉颐苑（吴中路389弄1—15号）、金鹰华庭、古北中央公园 |
| 3 | 上海市龙柏中学 | 虹桥镇兰竹路8号 | 龙柏一村：含西郊公寓、西郊公寓北片（黄桦路568弄）、龙柏公寓（绿苑路21弄）、佳信花苑（黄桦路292弄）、龙柏城市花园（黄桦路85弄）、嘉富丽苑（黄桦路369弄）、华都公寓（黄桦路422弄）、永怡公寓（黄桦路577弄）、汇金公寓（红松路333弄）；龙柏二村：含龙柏西郊公寓（红松路700弄）；龙柏三村：含先锋公寓、中康公寓（青杉路26弄）、和兴公寓（青杉路244号）、新悦公寓（红松路319弄）、金铃公寓（黄桦路158弄）、龙兴苑（白樟路350弄)、四季花园（青杉路150弄）；龙柏四村（红松路521弄、兰竹路17弄、青杉路318弄）；龙柏五村（青杉路5弄）；龙柏六村：含易居公寓（紫藤路266弄）、中祥龙柏苑（白樟路99弄）、金悦公寓（青杉路115弄）、香榭苑（青杉路169弄）；龙柏七村：含七村公寓（青杉路455弄）、紫藤居（紫藤路99弄）、紫藤里（紫藤路128弄)；虹井小区（虹井路788弄）；井亭头：含龙柏井亭公寓（老虹井路39弄）、紫藤华庭（吴中路1898弄） |
| 4 | 上海市闵行区七宝第二中学 | 七宝镇民主路26号 | 枫荷兰庭（宝联路88弄）、华夏茗苑（宝南路508弄）、江南御府（宝南路536弄）、交大农学院家属楼（宝南路531弄）、明泉公寓（漕宝路3158弄）、明泉花园（漕宝路3369弄）、豪世盛地（沪松公路195弄）、金美苑（沪松公路481弄）、水清年华（沪松公路565弄）、佳宝新村（沪松公路62弄）、佳宝一村、佳宝二村、佳宝三村、佳宝四村、佳宝四联新村（沪松公路62弄）、保利名苑（华茂路100弄）、华宝花园（华茂路18弄、华茂路32弄、华茂路42弄）、联盛花苑（华茂路1036弄）、宝南新村（七莘路2455弄、联明路10弄）、奔驰别墅（联明路255弄）、惠明苑（联明路338弄）、民主新村（民主路84弄、民主路85弄）、水榭花堤（七莘路2299弄26支弄）、万泰花园（七莘路2299弄）、广海花园（七莘路2315弄）、亿豪名邸（七莘路2358弄）、华星别墅（联明路125弄、七莘路2465弄125支弄）、黎明花园（七莘路2465弄30支弄）、园艺新村（七莘路2628弄）、万兆家园（七莘路2855弄）、莱茵清境（七莘路2885弄）、莱茵风尚（七莘路2929弄）、牡丹公寓（七莘路2899弄）、宝隆新村（富强街78-80号、七莘路2938弄）、牡丹新村（七莘路2999弄）、嘉丽苑（七莘路3128弄25支弄）、泰景苑（七莘路3128弄25支弄）、万泰公寓（七莘路3128弄38支弄）、南国花园（七莘路3198弄）、万科城市花园（七莘路3333弄）、青年路散区（青年路140号-394号）、京都苑（青年路369弄、七莘路2950弄50支弄）、青南小区（青年路395号-421号）、白浪新村（青年路267弄）、汇宝公寓（吴宝路139弄）、海星公寓（吴宝路160弄）、嘉景苑（吴宝路169弄）、欣源公寓（吴宝路228弄）、吴宝新村（吴宝路27弄）、金球花园（吴中路2727弄）、尚城河滨（吴中路2569弄）、茗宝花苑（新龙路588弄）、西郊英园（新龙路558弄）、华莘花园（新龙路1058弄）、万科朗润园（新龙路1111弄）、万科城市花园新区（中春路8888弄）、绿野香舟一期（中谊路666弄）、碧林湾（中谊路888弄）、横沥泾以西的老街村宅（南大街、北大街、南西街、北西街、北东街、北横沥、南横沥、南东街、北东塘滩、南东塘滩、南街、富强街、浴堂街、竹行弄、徐家弄、沟水弄）、七宝村（徐家厍、陈家塘别墅、王家场）、联明村、沪星村、新龙村、宝北村、友谊村、广达新苑（吴宝路580弄）、兴隆别墅（吴中路2768弄） |
| 5 | 上海市闵行区七宝第二中学北校区 | 七宝镇航新路75号 | 航华二村、航华三村、三佳苑（航新路88弄）、复泰华庭（航新路408弄）、航西路350弄、航北路669弄、七韵美地苑（航中路99弄）、航新路589弄、沙申新村（沪青平公路635弄）、茂盛花苑（七莘路3885弄）、万科城花新园（中春路8889弄55支弄、56支弄、120支弄）、欧香名邸（沪星路299弄）、大千美苑（中春路8988弄）、大都会和风社区（中春路9966弄）、航新路260弄 |
