▲ Next.js 16.1.1 (webpack)
- Local:         http://localhost:3000
- Network:       http://10.35.12.32:3000
- Environments: .env.local
- Experiments (use with caution):
  · optimizePackageImports

✓ Starting...
✓ Ready in 6.2s
 GET /onboarding?clinicianEvaluated=yes&immobilizationStatus=removed_or_near_removal&injuryArea=finger_or_metacarpal&hasRedFlags=yes 200 in 724ms (compile: 21ms, render: 703ms)
 GET /onboarding?clinicianEvaluated=no&immobilizationStatus=removed_or_near_removal&injuryArea=finger_or_metacarpal&hasRedFlags=no 200 in 724ms (compile: 20ms, render: 704ms)
○ Compiling /legal/disclaimer ...
 GET /legal/disclaimer 200 in 5.5s (compile: 5.2s, render: 336ms)
 GET /api/auth/session 200 in 52ms (compile: 36ms, render: 16ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 2.4s (compile: 1636ms, render: 744ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 2.4s (compile: 1675ms, render: 746ms)
 GET /sign-in 200 in 2.4s (compile: 1632ms, render: 747ms)
 GET /onboarding 307 in 2.4s (compile: 1657ms, render: 752ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 246ms (compile: 42ms, render: 204ms)
 GET /api/auth/session 200 in 1991ms (compile: 1721ms, render: 269ms)
 GET /api/auth/session 200 in 1967ms (compile: 1694ms, render: 272ms)
 GET /api/auth/providers 200 in 1886ms (compile: 1611ms, render: 276ms)
 GET /api/auth/providers 200 in 1888ms (compile: 1610ms, render: 279ms)
 GET /api/auth/csrf 200 in 28ms (compile: 11ms, render: 17ms)
 GET /api/auth/csrf 200 in 30ms (compile: 10ms, render: 20ms)
 POST /api/auth/callback/dev-login 200 in 40ms (compile: 12ms, render: 28ms)
 POST /api/auth/callback/dev-login 200 in 44ms (compile: 9ms, render: 36ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 1795ms (compile: 1346ms, render: 449ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 1795ms (compile: 1345ms, render: 450ms)
 GET /onboarding 200 in 339ms (compile: 23ms, render: 317ms)
 GET /onboarding 200 in 339ms (compile: 20ms, render: 319ms)
 GET /api/auth/session 200 in 1377ms (compile: 1084ms, render: 293ms)
 GET /api/auth/session 200 in 1376ms (compile: 1080ms, render: 296ms)
 GET /api/auth/providers 200 in 1377ms (compile: 1078ms, render: 299ms)
 GET /api/auth/providers 200 in 1378ms (compile: 1077ms, render: 302ms)
 GET /api/auth/csrf 200 in 25ms (compile: 10ms, render: 15ms)
 GET /api/auth/csrf 200 in 24ms (compile: 7ms, render: 17ms)
 POST /api/auth/callback/dev-login 200 in 33ms (compile: 17ms, render: 16ms)
 POST /api/auth/callback/dev-login 200 in 30ms (compile: 11ms, render: 19ms)
 GET / 200 in 2.3s (compile: 1611ms, render: 692ms)
 GET / 200 in 1185ms (compile: 484ms, render: 701ms)
 GET /onboarding 200 in 312ms (compile: 23ms, render: 289ms)
 GET /onboarding 200 in 312ms (compile: 22ms, render: 290ms)
 GET /api/auth/session 200 in 50ms (compile: 34ms, render: 16ms)
 GET /api/auth/session 200 in 28ms (compile: 14ms, render: 15ms)
 GET /api/auth/session 200 in 24ms (compile: 10ms, render: 14ms)
 GET /api/auth/session 200 in 25ms (compile: 9ms, render: 16ms)
 GET / 200 in 63ms (compile: 14ms, render: 49ms)
 GET / 200 in 114ms (compile: 5ms, render: 108ms)
 GET / 200 in 117ms (compile: 6ms, render: 111ms)
 GET /api/auth/session 200 in 45ms (compile: 35ms, render: 11ms)
 GET /api/auth/session 200 in 15ms (compile: 4ms, render: 11ms)
 GET /blog/unknown-recovery-topic 404 in 794ms (compile: 380ms, generate-params: 19ms, render: 414ms)
 GET /blog/finger-stiff-after-cast-removal 200 in 1153ms (compile: 736ms, generate-params: 2ms, render: 417ms)
 GET /api/auth/session 200 in 97ms (compile: 86ms, render: 10ms)
 GET /api/auth/session 200 in 12ms (compile: 4ms, render: 8ms)
 GET /legal/privacy 200 in 105ms (compile: 15ms, render: 89ms)
 GET /this-route-does-not-exist 404 in 890ms (compile: 733ms, render: 157ms)
 GET /api/auth/session 200 in 1811ms (compile: 1662ms, render: 149ms)
 GET /legal/terms 200 in 1883ms (compile: 1697ms, render: 186ms)
 GET /sign-in 200 in 107ms (compile: 15ms, render: 92ms)
 GET /api/auth/session 200 in 96ms (compile: 85ms, render: 12ms)
 POST /api/auth/_log 200 in 18ms (compile: 9ms, render: 8ms)
 GET /legal/refund 200 in 154ms (compile: 22ms, render: 132ms)
 GET /api/auth/session 200 in 32ms (compile: 20ms, render: 11ms)
 GET /api/auth/session 200 in 19ms (compile: 3ms, render: 16ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 2.3s (compile: 1749ms, render: 585ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 1623ms (compile: 1037ms, render: 586ms)
 GET /onboarding 307 in 1817ms (compile: 1228ms, render: 589ms)
 GET /legal/disclaimer 200 in 2.5s (compile: 1902ms, render: 599ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 199ms (compile: 44ms, render: 155ms)
 GET /api/auth/session 200 in 42ms (compile: 26ms, render: 16ms)
 GET /api/auth/session 200 in 18ms (compile: 5ms, render: 13ms)
 GET /api/auth/session 200 in 17ms (compile: 7ms, render: 9ms)
 GET /api/auth/session 200 in 17ms (compile: 8ms, render: 9ms)
 GET /api/auth/providers 200 in 22ms (compile: 8ms, render: 15ms)
 GET /api/auth/providers 200 in 23ms (compile: 5ms, render: 18ms)
 GET /api/auth/csrf 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/auth/csrf 200 in 25ms (compile: 5ms, render: 20ms)
 POST /api/auth/callback/dev-login 200 in 30ms (compile: 7ms, render: 23ms)
 POST /api/auth/callback/dev-login 200 in 25ms (compile: 10ms, render: 14ms)
 GET /onboarding 200 in 245ms (compile: 10ms, render: 234ms)
 GET /onboarding 200 in 257ms (compile: 5ms, render: 252ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 128ms (compile: 18ms, render: 110ms)
 GET / 200 in 144ms (compile: 16ms, render: 127ms)
 GET /api/auth/session 200 in 33ms (compile: 18ms, render: 15ms)
 GET /api/auth/session 200 in 14ms (compile: 5ms, render: 10ms)
 GET /api/auth/providers 200 in 33ms (compile: 4ms, render: 30ms)
 GET /api/auth/csrf 200 in 22ms (compile: 4ms, render: 18ms)
 POST /api/auth/callback/dev-login 200 in 22ms (compile: 4ms, render: 18ms)
 GET /api/auth/session 200 in 73ms (compile: 52ms, render: 21ms)
 GET /onboarding 200 in 193ms (compile: 6ms, render: 188ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 146ms (compile: 22ms, render: 124ms)
 GET / 200 in 128ms (compile: 7ms, render: 121ms)
